(b'hotel', 22746)
(b'room', 13758)
(b'great', 9901)
(b'not', 8767)
(b'staff', 7078)
(b'stayed', 6824)
(b'location', 6479)
(b'stay', 6152)
(b'good', 6044)
(b'rooms', 5816)
(b'nice', 4749)
(b'clean', 4645)
(b"n't", 4582)
(b'just', 4488)
(b'service', 3397)
(b'night', 3257)
(b'friendly', 3134)
(b'no', 3001)
(b'time', 2996)
(b'did', 2993)
(b'breakfast', 2963)
(b'place', 2923)
(b'excellent', 2868)
(b'helpful', 2692)
(b'nights', 2650)
(b'small', 2479)
(b'resort', 2373)
(b'the', 2317)
(b'really', 2251)
(b'reviews', 2228)
(b'day', 2156)
(b'like', 2153)
(b'comfortable', 2133)
(b'booked', 2116)
(b'best', 2108)
(b'walk', 2074)
(b'beach', 2068)
(b'got', 2045)
(b'trip', 2028)
(b'view', 2018)
(b'food', 2006)
(b'bed', 1932)
(b'little', 1912)
(b'bathroom', 1902)
(b'beautiful', 1868)
(b'wonderful', 1867)
(b'area', 1738)
(b'floor', 1724)
(b'th', 1706)
(b'pool', 1640)
(b'loved', 1636)
(b'hotels', 1610)
(b'city', 1608)
(b'check', 1593)
(b'fantastic', 1528)
(b'large', 1488)
(b'people', 1480)
(b'perfect', 1476)
(b'arrived', 1458)
(b'new', 1403)
(b'price', 1403)
(b'right', 1383)
(b'lovely', 1379)
(b'husband', 1318)
(b'street', 1317)
(b'close', 1314)
(b'desk', 1311)
(b'week', 1305)
(b'experience', 1297)
(b'went', 1264)
(b'quiet', 1245)
(b'days', 1224)
(b'returned', 1218)
(b'away', 1213)
(b'restaurants', 1201)
(b'quite', 1190)
(b'say', 1181)
(b'bit', 1177)
(b'better', 1172)
(b'bar', 1161)
(b'value', 1154)
(b'free', 1132)
(b'located', 1129)
(b'modern', 1124)
(b'star', 1124)
(b'beds', 1115)
(b'station', 1113)
(b'airport', 1089)
(b'old', 1078)
(b'way', 1044)
(b'lobby', 1027)
(b'recommend', 1008)
(b'restaurant', 1002)
(b'bad', 1001)
(b'spacious', 997)
(b'family', 990)
(b'walking', 986)
(b'minutes', 980)
(b'big', 978)
(b'vacation', 971)
(b'suite', 959)
(b'year', 922)
(b'shower', 918)
(b'want', 910)
(b'staying', 892)
(b'weekend', 885)
(b'wife', 874)
(b'spent', 872)
(b'water', 868)
(b'easy', 868)
(b'size', 861)
(b'amazing', 858)
(b'extremely', 855)
(b'cana', 854)
(b'punta', 853)
(b'make', 845)
(b'times', 841)
(b'we', 825)
(b'ok', 802)
(b'going', 791)
(b'read', 790)
(b'long', 786)
(b'enjoyed', 786)
(b'need', 775)
(b'minute', 774)
(b'money', 768)
(b'business', 767)
(b'took', 757)
(b'reception', 749)
(b'in', 748)
(b'central', 739)
(b'near', 721)
(b'noise', 720)
(b'distance', 717)
(b'problem', 715)
(b'door', 711)
(b'i', 706)
(b'lot', 704)
(b'far', 704)
(b'definitely', 691)
(b'nothing', 691)
(b'main', 689)
(b'pretty', 687)
(b'early', 687)
(b'looking', 685)
(b'huge', 680)
(b'having', 668)
(b'feel', 668)
(b'san', 665)
(b'wanted', 664)
(b'square', 664)
(b'buffet', 664)
(b'morning', 663)
(b'visit', 656)
(b'short', 646)
(b'home', 642)
(b'worth', 636)
(b'bus', 633)
(b'choice', 632)
(b'asked', 631)
(b'absolutely', 629)
(b'overall', 625)
(b'internet', 624)
(b'shopping', 622)
(b'told', 622)
(b'thought', 616)
(b'pleasant', 608)
(b'air', 604)
(b'high', 600)
(b'travel', 598)
(b'paris', 598)
(b'metro', 596)
(b'barcelona', 588)
(b'st', 584)
(b'fabulous', 584)
(b'ca', 584)
(b'club', 583)
(b'end', 583)
(b'amsterdam', 581)
(b'disappointed', 581)
(b'convenient', 577)
(b'expensive', 577)
(b'rate', 576)
(b'building', 571)
(b'arrival', 570)
(b'think', 570)
(b'things', 570)
(b'train', 569)
(b'outside', 567)
(b'reading', 566)
(b'tv', 563)
(b'thing', 561)
(b'know', 561)
(b'sure', 557)
(b'left', 555)
(b'views', 551)
(b'years', 551)
(b'double', 551)
(b'parking', 547)
(b'standard', 546)
(b'especially', 545)
(b'paid', 544)
(b'fine', 544)
(b'lots', 543)
(b'use', 542)
(b'said', 541)
(b'hot', 540)
(b'couple', 539)
(b'second', 538)
(b'florence', 537)
(b'ocean', 534)
(b'park', 532)
(b'holiday', 527)
(b'checked', 526)
(b'honeymoon', 525)
(b'given', 523)
(b'english', 522)
(b'late', 521)
(b'coffee', 516)
(b'came', 516)
(b'property', 516)
(b'highly', 514)
(b'deal', 512)
(b'expect', 512)
(b'car', 508)
(b'felt', 507)
(b'review', 501)
(b'average', 501)
(b'decided', 497)
(b'work', 493)
(b'different', 489)
(b'inn', 473)
(b'looked', 471)
(b'come', 469)
(b'access', 468)
(b'booking', 462)
(b'recently', 460)
(b'website', 456)
(b'extra', 455)
(b'help', 455)
(b'problems', 455)
(b'gave', 454)
(b'open', 450)
(b'available', 447)
(b'safe', 447)
(b'book', 447)
(b'friends', 447)
(b'expected', 447)
(b'included', 446)
(b'eat', 446)
(b'places', 445)
(b'kids', 444)
(b'happy', 442)
(b'return', 442)
(b'needed', 442)
(b'special', 440)
(b'decorated', 438)
(b'balcony', 437)
(b'try', 435)
(b'quality', 434)
(b'king', 434)
(b'used', 433)
(b'pm', 432)
(b'flight', 429)
(b'able', 429)
(b'pay', 427)
(b'hard', 426)
(b'centre', 425)
(b'upgraded', 423)
(b'decor', 423)
(b'site', 422)
(b'grounds', 422)
(b'hours', 422)
(b'plenty', 422)
(b'chose', 419)
(b'love', 418)
(b's', 415)
(b'ready', 412)
(b'la', 409)
(b'a', 409)
(b'center', 408)
(b'grand', 406)
(b'facilities', 406)
(b'concierge', 405)
(b'fun', 404)
(b'space', 403)
(b'hour', 400)
(b'start', 399)
(b'noisy', 396)
(b'bath', 396)
(b'getting', 395)
(b'guests', 393)
(b'town', 389)
(b'block', 388)
(b'let', 387)
(b'it', 386)
(b'evening', 385)
(b'bathrooms', 384)
(b'does', 383)
(b'london', 382)
(b'look', 382)
(b'luggage', 381)
(b'stop', 379)
(b'drinks', 378)
(b'kept', 377)
(b'superb', 377)
(b'ask', 369)
(b'downtown', 364)
(b'warm', 363)
(b'decent', 362)
(b'called', 361)
(b'march', 360)
(b'impressed', 358)
(b'actually', 357)
(b'break', 354)
(b'sleep', 354)
(b'april', 354)
(b'corner', 353)
(b'wait', 352)
(b'suites', 351)
(b'including', 351)
(b'blocks', 350)
(b'w', 349)
(b'seattle', 348)
(b'wedding', 347)
(b'bedroom', 347)
(b'real', 347)
(b'world', 347)
(b'plus', 345)
(b'towels', 345)
(b'taxi', 344)
(b'areas', 344)
(b'expectations', 342)
(b'major', 340)
(b'tripadvisor', 339)
(b'windows', 338)
(b'based', 338)
(b'lounge', 337)
(b'hilton', 337)
(b'yes', 336)
(b'pleased', 334)
(b'palace', 334)
(b'daughter', 333)
(b'june', 332)
(b'reservation', 330)
(b'style', 328)
(b'york', 325)
(b'children', 325)
(b'relaxing', 325)
(b'dinner', 323)
(b'awesome', 321)
(b'weeks', 318)
(b'plaza', 318)
(b'c', 318)
(b'walked', 317)
(b'window', 317)
(b'negative', 316)
(b'mins', 315)
(b'super', 315)
(b'busy', 315)
(b'recommended', 313)
(b'july', 313)
(b'efficient', 312)
(b'shops', 311)
(b'group', 311)
(b'tiny', 308)
(b'road', 308)
(b'cheap', 308)
(b'surprised', 306)
(b'friend', 305)
(b'juan', 304)
(b'quick', 304)
(b'cruise', 304)
(b'welcome', 304)
(b'bars', 304)
(b'nicely', 304)
(b'reservations', 302)
(b'person', 302)
(b'bavaro', 301)
(b'reasonable', 301)
(b'upgrade', 300)
(b'previous', 300)
(b'e', 300)
(b'tower', 300)
(b'single', 300)
(b'amenities', 298)
(b'appointed', 298)
(b'attractions', 297)
(b'liked', 297)
(b'fact', 297)
(b'tourist', 296)
(b'french', 296)
(b'offered', 293)
(b'ride', 292)
(b'probably', 292)
(b'line', 291)
